project_id,student_id,language_or_technology,usage_percentage
PRJ00027,STU0102,React,46
PRJ00027,STU0102,Node.js,84
PRJ00027,STU0102,MongoDB,88
PRJ00028,STU0090,Python,67
PRJ00028,STU0090,Machine Learning,89
PRJ00029,STU0091,Java,86
PRJ00029,STU0091,SQL,17
PRJ00030,STU0071,Java,50
PRJ00030,STU0071,SQL,30
PRJ00031,STU0234,Python,27
PRJ00031,STU0234,Data Science,23
PRJ00031,STU0234,SQL,72
PRJ00032,STU0410,React,25
PRJ00032,STU0410,Firebase,24
PRJ00033,STU0452,Docker,45
PRJ00033,STU0452,Git,79
PRJ00033,STU0452,Node.js,62
PRJ00034,STU0194,React,52
PRJ00034,STU0194,Node.js,63
PRJ00034,STU0194,MongoDB,55
PRJ00035,STU0326,Python,76
PRJ00035,STU0326,Data Science,22
PRJ00035,STU0326,SQL,80
PRJ00036,STU0405,Java,89
PRJ00036,STU0405,SQL,78
PRJ00037,STU0408,React,94
PRJ00037,STU0408,Node.js,23
PRJ00037,STU0408,MongoDB,11
PRJ00038,STU0108,React,65
PRJ00038,STU0108,Node.js,19
PRJ00038,STU0108,MongoDB,73
PRJ00039,STU0086,HTML/CSS,37
PRJ00039,STU0086,JavaScript,90
PRJ00040,STU0266,Python,97
PRJ00040,STU0266,Firebase,100
PRJ00041,STU0356,Python,50
PRJ00041,STU0356,Firebase,62
PRJ00042,STU0206,Python,41
PRJ00042,STU0206,FastAPI,22
PRJ00042,STU0206,Machine Learning,62
PRJ00043,STU0232,Java,35
PRJ00043,STU0232,SQL,22
PRJ00044,STU0218,Docker,31
PRJ00044,STU0218,Git,86
PRJ00044,STU0218,Node.js,69
PRJ00045,STU0282,JavaScript,56
PRJ00045,STU0282,React,55
PRJ00045,STU0282,Node.js,67
PRJ00045,STU0282,SQL,32
PRJ00046,STU0266,Python,63
PRJ00046,STU0266,Machine Learning,23
PRJ00047,STU0319,Python,63
PRJ00047,STU0319,Machine Learning,86
PRJ00048,STU0210,Python,49
PRJ00048,STU0210,Machine Learning,87
PRJ00049,STU0013,Java,62
PRJ00049,STU0013,SQL,37
PRJ00050,STU0039,Python,72
PRJ00050,STU0039,Machine Learning,81
PRJ00051,STU0280,Python,74
PRJ00051,STU0280,FastAPI,19
PRJ00051,STU0280,Machine Learning,21
PRJ00052,STU0061,JavaScript,83
PRJ00052,STU0061,React,37
PRJ00052,STU0061,Node.js,77
PRJ00052,STU0061,SQL,98
PRJ00053,STU0171,Python,100
PRJ00053,STU0171,Data Science,85
PRJ00053,STU0171,SQL,92
PRJ00054,STU0418,Python,84
PRJ00054,STU0418,Machine Learning,84
PRJ00054,STU0418,Data Science,16
PRJ00055,STU0438,Python,60
PRJ00055,STU0438,Machine Learning,77
PRJ00055,STU0438,Data Science,31
PRJ00056,STU0422,Python,99
PRJ00056,STU0422,Machine Learning,16
PRJ00057,STU0007,Python,24
PRJ00057,STU0007,Firebase,36
PRJ00058,STU0371,React,92
PRJ00058,STU0371,Node.js,11
PRJ00058,STU0371,MongoDB,73
PRJ00059,STU0301,Python,19
PRJ00059,STU0301,Machine Learning,64
PRJ00059,STU0301,Data Science,73
PRJ00060,STU0161,Java,54
PRJ00060,STU0161,SQL,34
PRJ00061,STU0225,Python,97
PRJ00061,STU0225,Firebase,99
PRJ00062,STU0448,Java,31
PRJ00062,STU0448,SQL,24
PRJ00063,STU0428,Python,59
PRJ00063,STU0428,Machine Learning,38
PRJ00064,STU0352,Python,98
PRJ00064,STU0352,Machine Learning,34
PRJ00064,STU0352,Data Science,63
PRJ00065,STU0301,Python,25
PRJ00065,STU0301,FastAPI,40
PRJ00065,STU0301,Machine Learning,19
PRJ00066,STU0291,Python,70
PRJ00066,STU0291,FastAPI,88
PRJ00066,STU0291,Machine Learning,77
PRJ00067,STU0033,HTML/CSS,52
PRJ00067,STU0033,JavaScript,44
PRJ00068,STU0169,React,84
PRJ00068,STU0169,Firebase,14
PRJ00069,STU0054,Python,15
PRJ00069,STU0054,FastAPI,49
PRJ00069,STU0054,Machine Learning,98
PRJ00070,STU0014,Java,87
PRJ00070,STU0014,SQL,17
PRJ00071,STU0106,Python,41
PRJ00071,STU0106,Data Science,70
PRJ00071,STU0106,SQL,96
PRJ00072,STU0030,Python,30
PRJ00072,STU0030,Machine Learning,86
PRJ00073,STU0201,Java,55
PRJ00073,STU0201,SQL,47
PRJ00074,STU0245,React,57
PRJ00074,STU0245,Node.js,76
PRJ00074,STU0245,MongoDB,52
PRJ00075,STU0446,Python,74
PRJ00075,STU0446,Data Science,38
PRJ00075,STU0446,SQL,53
PRJ00076,STU0310,React,98
PRJ00076,STU0310,Firebase,63
PRJ00077,STU0351,Python,40
PRJ00077,STU0351,Firebase,97
PRJ00078,STU0229,JavaScript,86
PRJ00078,STU0229,React,85
PRJ00078,STU0229,Node.js,80
PRJ00078,STU0229,SQL,25
PRJ00079,STU0467,React,29
PRJ00079,STU0467,Firebase,71
PRJ00080,STU0021,React,45
PRJ00080,STU0021,Node.js,37
PRJ00080,STU0021,MongoDB,87
PRJ00081,STU0359,Java,90
PRJ00081,STU0359,SQL,29
PRJ00082,STU0213,Python,28
PRJ00082,STU0213,Data Science,51
PRJ00082,STU0213,SQL,53
PRJ00083,STU0467,Python,23
PRJ00083,STU0467,FastAPI,66
PRJ00083,STU0467,Machine Learning,44
PRJ00084,STU0358,Python,18
PRJ00084,STU0358,FastAPI,86
PRJ00084,STU0358,Machine Learning,99
PRJ00085,STU0276,React,33
PRJ00085,STU0276,Node.js,51
PRJ00085,STU0276,MongoDB,81
PRJ00086,STU0391,HTML/CSS,18
PRJ00086,STU0391,JavaScript,90
PRJ00087,STU0259,Python,42
PRJ00087,STU0259,Machine Learning,73
PRJ00087,STU0259,Data Science,63
PRJ00088,STU0130,Python,32
PRJ00088,STU0130,Data Science,23
PRJ00088,STU0130,SQL,100
PRJ00089,STU0328,React,33
PRJ00089,STU0328,Node.js,100
PRJ00089,STU0328,MongoDB,34
PRJ00090,STU0205,Java,61
PRJ00090,STU0205,SQL,14
PRJ00091,STU0129,JavaScript,25
PRJ00091,STU0129,React,99
PRJ00091,STU0129,Node.js,79
PRJ00091,STU0129,SQL,60
PRJ00092,STU0237,JavaScript,39
PRJ00092,STU0237,React,83
PRJ00092,STU0237,Node.js,86
PRJ00092,STU0237,SQL,43
PRJ00093,STU0487,Python,55
PRJ00093,STU0487,Firebase,43
PRJ00094,STU0088,Java,22
PRJ00094,STU0088,SQL,36
PRJ00095,STU0064,HTML/CSS,81
PRJ00095,STU0064,JavaScript,42
PRJ00096,STU0391,Python,50
PRJ00096,STU0391,FastAPI,39
PRJ00096,STU0391,Machine Learning,22
PRJ00097,STU0092,Python,50
PRJ00097,STU0092,Data Science,59
PRJ00097,STU0092,SQL,37
PRJ00098,STU0357,Python,16
PRJ00098,STU0357,FastAPI,87
PRJ00098,STU0357,Machine Learning,41
PRJ00099,STU0027,React,11
PRJ00099,STU0027,Firebase,70
PRJ00100,STU0476,Python,86
PRJ00100,STU0476,Data Science,61
PRJ00100,STU0476,SQL,76
PRJ00101,STU0009,Java,94
PRJ00101,STU0009,SQL,53
PRJ00102,STU0349,Python,89
PRJ00102,STU0349,FastAPI,15
PRJ00102,STU0349,Machine Learning,93
PRJ00103,STU0086,React,85
PRJ00103,STU0086,Node.js,64
PRJ00103,STU0086,MongoDB,99
PRJ00104,STU0056,Java,94
PRJ00104,STU0056,SQL,49
PRJ00105,STU0098,React,56
PRJ00105,STU0098,Firebase,84
PRJ00106,STU0062,Python,78
PRJ00106,STU0062,Data Science,69
PRJ00106,STU0062,SQL,27
PRJ00107,STU0089,Python,90
PRJ00107,STU0089,FastAPI,45
PRJ00107,STU0089,Machine Learning,14
PRJ00108,STU0109,Python,81
PRJ00108,STU0109,Firebase,88
PRJ00109,STU0320,Python,87
PRJ00109,STU0320,Machine Learning,32
PRJ00110,STU0155,Python,99
PRJ00110,STU0155,Machine Learning,23
PRJ00110,STU0155,Data Science,68
PRJ00111,STU0088,React,71
PRJ00111,STU0088,Node.js,91
PRJ00111,STU0088,MongoDB,34
PRJ00112,STU0474,Python,52
PRJ00112,STU0474,Machine Learning,93
PRJ00112,STU0474,Data Science,21
PRJ00113,STU0390,Docker,63
PRJ00113,STU0390,Git,61
PRJ00113,STU0390,Node.js,75
PRJ00114,STU0010,React,18
PRJ00114,STU0010,Firebase,18
PRJ00115,STU0380,Python,36
PRJ00115,STU0380,Data Science,37
PRJ00115,STU0380,SQL,89
PRJ00116,STU0389,Docker,70
PRJ00116,STU0389,Git,34
PRJ00116,STU0389,Node.js,64
PRJ00117,STU0220,Python,67
PRJ00117,STU0220,Machine Learning,13
PRJ00117,STU0220,Data Science,71
PRJ00118,STU0192,Python,98
PRJ00118,STU0192,Firebase,27
PRJ00119,STU0105,Python,25
PRJ00119,STU0105,FastAPI,71
PRJ00119,STU0105,Machine Learning,94
PRJ00120,STU0379,Docker,38
PRJ00120,STU0379,Git,100
PRJ00120,STU0379,Node.js,47
PRJ00121,STU0330,Python,11
PRJ00121,STU0330,Machine Learning,100
PRJ00121,STU0330,Data Science,33
PRJ00122,STU0417,React,49
PRJ00122,STU0417,Node.js,26
PRJ00122,STU0417,MongoDB,93
PRJ00123,STU0125,Python,31
PRJ00123,STU0125,Data Science,92
PRJ00123,STU0125,SQL,31
PRJ00124,STU0447,Java,44
PRJ00124,STU0447,SQL,22
PRJ00125,STU0004,JavaScript,98
PRJ00125,STU0004,React,88
PRJ00125,STU0004,Node.js,77
PRJ00125,STU0004,SQL,39
PRJ00126,STU0325,Java,17
PRJ00126,STU0325,SQL,62
PRJ00127,STU0304,HTML/CSS,96
PRJ00127,STU0304,JavaScript,41
PRJ00128,STU0219,React,33
PRJ00128,STU0219,Node.js,40
PRJ00128,STU0219,MongoDB,65
PRJ00129,STU0102,Python,50
PRJ00129,STU0102,Data Science,49
PRJ00129,STU0102,SQL,11
PRJ00130,STU0156,React,22
PRJ00130,STU0156,Node.js,79
PRJ00130,STU0156,MongoDB,22
PRJ00131,STU0041,Python,93
PRJ00131,STU0041,Machine Learning,49
PRJ00132,STU0226,Java,47
PRJ00132,STU0226,SQL,44
PRJ00133,STU0391,Java,31
PRJ00133,STU0391,SQL,47
PRJ00134,STU0276,Java,80
PRJ00134,STU0276,SQL,44
PRJ00135,STU0157,Python,29
PRJ00135,STU0157,Firebase,95
PRJ00136,STU0247,JavaScript,95
PRJ00136,STU0247,React,13
PRJ00136,STU0247,Node.js,30
PRJ00136,STU0247,SQL,98
PRJ00137,STU0080,Docker,45
PRJ00137,STU0080,Git,41
PRJ00137,STU0080,Node.js,57
PRJ00138,STU0374,React,10
PRJ00138,STU0374,Node.js,99
PRJ00138,STU0374,MongoDB,86
PRJ00139,STU0482,Java,49
PRJ00139,STU0482,SQL,66
PRJ00140,STU0329,React,62
PRJ00140,STU0329,Firebase,54
PRJ00141,STU0198,Docker,99
PRJ00141,STU0198,Git,21
PRJ00141,STU0198,Node.js,25
PRJ00142,STU0395,Docker,95
PRJ00142,STU0395,Git,75
PRJ00142,STU0395,Node.js,64
PRJ00143,STU0353,Python,94
PRJ00143,STU0353,Machine Learning,18
PRJ00144,STU0127,Python,53
PRJ00144,STU0127,Data Science,63
PRJ00144,STU0127,SQL,45
PRJ00145,STU0362,Python,11
PRJ00145,STU0362,FastAPI,88
PRJ00145,STU0362,Machine Learning,83
PRJ00146,STU0234,Python,46
PRJ00146,STU0234,FastAPI,23
PRJ00146,STU0234,Machine Learning,49
PRJ00147,STU0297,Python,73
PRJ00147,STU0297,FastAPI,54
PRJ00147,STU0297,Machine Learning,34
PRJ00148,STU0330,React,89
PRJ00148,STU0330,Node.js,79
PRJ00148,STU0330,MongoDB,89
PRJ00149,STU0266,Docker,100
PRJ00149,STU0266,Git,18
PRJ00149,STU0266,Node.js,34
PRJ00150,STU0130,React,69
PRJ00150,STU0130,Node.js,14
PRJ00150,STU0130,MongoDB,50
PRJ00151,STU0454,Java,49
PRJ00151,STU0454,SQL,91
PRJ00152,STU0326,React,27
PRJ00152,STU0326,Firebase,48
PRJ00153,STU0108,Docker,51
PRJ00153,STU0108,Git,21
PRJ00153,STU0108,Node.js,97
PRJ00154,STU0418,Python,91
PRJ00154,STU0418,Firebase,89
PRJ00155,STU0214,HTML/CSS,17
PRJ00155,STU0214,JavaScript,75
PRJ00156,STU0091,Python,32
PRJ00156,STU0091,Machine Learning,59
PRJ00157,STU0094,HTML/CSS,19
PRJ00157,STU0094,JavaScript,95
PRJ00158,STU0096,Python,19
PRJ00158,STU0096,Data Science,13
PRJ00158,STU0096,SQL,92
PRJ00159,STU0462,Java,35
PRJ00159,STU0462,SQL,50
PRJ00160,STU0445,Python,59
PRJ00160,STU0445,FastAPI,50
PRJ00160,STU0445,Machine Learning,88
PRJ00161,STU0194,JavaScript,44
PRJ00161,STU0194,React,33
PRJ00161,STU0194,Node.js,83
PRJ00161,STU0194,SQL,85
PRJ00162,STU0300,Python,32
PRJ00162,STU0300,Data Science,14
PRJ00162,STU0300,SQL,91
PRJ00163,STU0032,React,32
PRJ00163,STU0032,Node.js,40
PRJ00163,STU0032,MongoDB,71
PRJ00164,STU0268,Python,58
PRJ00164,STU0268,Machine Learning,58
PRJ00164,STU0268,Data Science,65
PRJ00165,STU0493,Python,84
PRJ00165,STU0493,Machine Learning,94
PRJ00165,STU0493,Data Science,64
PRJ00166,STU0310,Java,86
PRJ00166,STU0310,SQL,32
PRJ00167,STU0419,Python,31
PRJ00167,STU0419,Data Science,82
PRJ00167,STU0419,SQL,54
PRJ00168,STU0030,Python,39
PRJ00168,STU0030,Machine Learning,39
PRJ00169,STU0446,React,78
PRJ00169,STU0446,Node.js,59
PRJ00169,STU0446,MongoDB,21
PRJ00170,STU0063,Java,82
PRJ00170,STU0063,SQL,42
PRJ00171,STU0317,Python,21
PRJ00171,STU0317,FastAPI,18
PRJ00171,STU0317,Machine Learning,90
PRJ00172,STU0097,Python,79
PRJ00172,STU0097,FastAPI,34
PRJ00172,STU0097,Machine Learning,87
PRJ00173,STU0497,Python,96
PRJ00173,STU0497,Machine Learning,12
PRJ00173,STU0497,Data Science,89
PRJ00174,STU0249,Java,39
PRJ00174,STU0249,SQL,49
PRJ00175,STU0338,Java,26
PRJ00175,STU0338,SQL,45
PRJ00176,STU0100,React,93
PRJ00176,STU0100,Node.js,90
PRJ00176,STU0100,MongoDB,29
PRJ00177,STU0259,Python,47
PRJ00177,STU0259,FastAPI,10
PRJ00177,STU0259,Machine Learning,58
PRJ00178,STU0427,Python,64
PRJ00178,STU0427,FastAPI,96
PRJ00178,STU0427,Machine Learning,32
PRJ00179,STU0247,Python,75
PRJ00179,STU0247,FastAPI,34
PRJ00179,STU0247,Machine Learning,44
PRJ00180,STU0386,Python,62
PRJ00180,STU0386,FastAPI,34
PRJ00180,STU0386,Machine Learning,35
PRJ00181,STU0015,Java,48
PRJ00181,STU0015,SQL,96
PRJ00182,STU0369,React,76
PRJ00182,STU0369,Node.js,78
PRJ00182,STU0369,MongoDB,87
PRJ00183,STU0325,React,39
PRJ00183,STU0325,Node.js,40
PRJ00183,STU0325,MongoDB,42
PRJ00184,STU0478,React,36
PRJ00184,STU0478,Firebase,70
PRJ00185,STU0381,React,57
PRJ00185,STU0381,Node.js,23
PRJ00185,STU0381,MongoDB,77
PRJ00186,STU0115,React,58
PRJ00186,STU0115,Node.js,65
PRJ00186,STU0115,MongoDB,88
PRJ00187,STU0046,Python,42
PRJ00187,STU0046,Machine Learning,14
PRJ00188,STU0066,Java,74
PRJ00188,STU0066,SQL,65
PRJ00189,STU0001,React,56
PRJ00189,STU0001,Node.js,46
PRJ00189,STU0001,MongoDB,32
PRJ00190,STU0217,Python,46
PRJ00190,STU0217,Machine Learning,41
PRJ00191,STU0309,React,81
PRJ00191,STU0309,Firebase,32
PRJ00192,STU0276,Java,59
PRJ00192,STU0276,SQL,89
PRJ00193,STU0429,Python,27
PRJ00193,STU0429,Data Science,80
PRJ00193,STU0429,SQL,52
PRJ00194,STU0146,Java,53
PRJ00194,STU0146,SQL,12
PRJ00195,STU0353,JavaScript,67
PRJ00195,STU0353,React,44
PRJ00195,STU0353,Node.js,36
PRJ00195,STU0353,SQL,53
PRJ00196,STU0150,React,12
PRJ00196,STU0150,Node.js,83
PRJ00196,STU0150,MongoDB,54
PRJ00197,STU0424,React,30
PRJ00197,STU0424,Node.js,81
PRJ00197,STU0424,MongoDB,91
PRJ00198,STU0439,Python,76
PRJ00198,STU0439,Firebase,89
PRJ00199,STU0281,Java,57
PRJ00199,STU0281,SQL,87
PRJ00200,STU0388,Java,44
PRJ00200,STU0388,SQL,71
PRJ00201,STU0145,React,90
PRJ00201,STU0145,Node.js,11
PRJ00201,STU0145,MongoDB,41
PRJ00202,STU0068,Python,82
PRJ00202,STU0068,Machine Learning,64
PRJ00203,STU0084,React,87
PRJ00203,STU0084,Firebase,64
PRJ00204,STU0460,Java,46
PRJ00204,STU0460,SQL,51
PRJ00205,STU0334,Python,36
PRJ00205,STU0334,FastAPI,51
PRJ00205,STU0334,Machine Learning,86
PRJ00206,STU0487,Java,22
PRJ00206,STU0487,SQL,70
PRJ00207,STU0499,Python,61
PRJ00207,STU0499,Firebase,52
PRJ00208,STU0333,Python,15
PRJ00208,STU0333,Machine Learning,43
PRJ00209,STU0018,JavaScript,68
PRJ00209,STU0018,React,25
PRJ00209,STU0018,Node.js,80
PRJ00209,STU0018,SQL,76
PRJ00210,STU0353,React,35
PRJ00210,STU0353,Firebase,10
PRJ00211,STU0443,Java,14
PRJ00211,STU0443,SQL,85
PRJ00212,STU0006,JavaScript,85
PRJ00212,STU0006,React,53
PRJ00212,STU0006,Node.js,45
PRJ00212,STU0006,SQL,27
PRJ00213,STU0329,Python,80
PRJ00213,STU0329,FastAPI,75
PRJ00213,STU0329,Machine Learning,68
PRJ00214,STU0294,Python,37
PRJ00214,STU0294,Firebase,45
PRJ00215,STU0197,Python,46
PRJ00215,STU0197,Firebase,88
PRJ00216,STU0051,Python,92
PRJ00216,STU0051,Machine Learning,61
PRJ00217,STU0417,React,95
PRJ00217,STU0417,Node.js,58
PRJ00217,STU0417,MongoDB,76
PRJ00218,STU0402,Python,65
PRJ00218,STU0402,Machine Learning,65
PRJ00218,STU0402,Data Science,67
PRJ00219,STU0276,React,85
PRJ00219,STU0276,Node.js,78
PRJ00219,STU0276,MongoDB,88
PRJ00220,STU0442,React,84
PRJ00220,STU0442,Firebase,43
PRJ00221,STU0410,Python,68
PRJ00221,STU0410,Machine Learning,12
PRJ00222,STU0106,Python,62
PRJ00222,STU0106,FastAPI,99
PRJ00222,STU0106,Machine Learning,23
PRJ00223,STU0436,Python,68
PRJ00223,STU0436,Machine Learning,99
PRJ00223,STU0436,Data Science,92
PRJ00224,STU0153,Python,12
PRJ00224,STU0153,Machine Learning,65
PRJ00225,STU0154,Python,84
PRJ00225,STU0154,FastAPI,16
PRJ00225,STU0154,Machine Learning,20
PRJ00226,STU0296,Python,43
PRJ00226,STU0296,Firebase,89
PRJ00227,STU0276,HTML/CSS,66
PRJ00227,STU0276,JavaScript,20
PRJ00228,STU0019,Python,20
PRJ00228,STU0019,Data Science,13
PRJ00228,STU0019,SQL,37
PRJ00229,STU0309,HTML/CSS,77
PRJ00229,STU0309,JavaScript,43
PRJ00230,STU0374,React,67
PRJ00230,STU0374,Firebase,23
PRJ00231,STU0134,Java,53
PRJ00231,STU0134,SQL,60
PRJ00232,STU0484,React,71
PRJ00232,STU0484,Node.js,55
PRJ00232,STU0484,MongoDB,63
PRJ00233,STU0037,Python,65
PRJ00233,STU0037,FastAPI,51
PRJ00233,STU0037,Machine Learning,10
PRJ00234,STU0337,Python,93
PRJ00234,STU0337,FastAPI,53
PRJ00234,STU0337,Machine Learning,19
PRJ00235,STU0404,Java,79
PRJ00235,STU0404,SQL,74
PRJ00236,STU0040,React,64
PRJ00236,STU0040,Node.js,12
PRJ00236,STU0040,MongoDB,97
PRJ00237,STU0281,Java,22
PRJ00237,STU0281,SQL,59
PRJ00238,STU0466,Python,72
PRJ00238,STU0466,Machine Learning,94
PRJ00239,STU0006,JavaScript,47
PRJ00239,STU0006,React,43
PRJ00239,STU0006,Node.js,82
PRJ00239,STU0006,SQL,97
PRJ00240,STU0401,Docker,33
PRJ00240,STU0401,Git,36
PRJ00240,STU0401,Node.js,46
PRJ00241,STU0449,React,98
PRJ00241,STU0449,Node.js,36
PRJ00241,STU0449,MongoDB,57
PRJ00242,STU0359,React,88
PRJ00242,STU0359,Firebase,91
PRJ00243,STU0051,Docker,65
PRJ00243,STU0051,Git,83
PRJ00243,STU0051,Node.js,76
PRJ00244,STU0093,Python,51
PRJ00244,STU0093,Machine Learning,12
PRJ00245,STU0133,Python,45
PRJ00245,STU0133,FastAPI,51
PRJ00245,STU0133,Machine Learning,12
PRJ00246,STU0291,React,92
PRJ00246,STU0291,Node.js,52
PRJ00246,STU0291,MongoDB,62
PRJ00247,STU0399,Python,62
PRJ00247,STU0399,Data Science,100
PRJ00247,STU0399,SQL,83
PRJ00248,STU0182,Python,39
PRJ00248,STU0182,Machine Learning,72
PRJ00248,STU0182,Data Science,53
PRJ00249,STU0488,Java,49
PRJ00249,STU0488,SQL,15
PRJ00250,STU0209,Python,27
PRJ00250,STU0209,Machine Learning,43
PRJ00250,STU0209,Data Science,32
PRJ00251,STU0374,Python,81
PRJ00251,STU0374,Data Science,65
PRJ00251,STU0374,SQL,19
PRJ00252,STU0044,React,70
PRJ00252,STU0044,Node.js,99
PRJ00252,STU0044,MongoDB,78
PRJ00253,STU0493,Java,85
PRJ00253,STU0493,SQL,31
PRJ00254,STU0351,Python,52
PRJ00254,STU0351,FastAPI,67
PRJ00254,STU0351,Machine Learning,25
PRJ00255,STU0098,Docker,48
PRJ00255,STU0098,Git,14
PRJ00255,STU0098,Node.js,26
PRJ00256,STU0177,Python,52
PRJ00256,STU0177,Data Science,17
PRJ00256,STU0177,SQL,97
PRJ00257,STU0477,Docker,40
PRJ00257,STU0477,Git,78
PRJ00257,STU0477,Node.js,51
PRJ00258,STU0430,Java,100
PRJ00258,STU0430,SQL,72
PRJ00259,STU0195,Java,64
PRJ00259,STU0195,SQL,32
PRJ00260,STU0128,Java,58
PRJ00260,STU0128,SQL,48
PRJ00261,STU0151,React,75
PRJ00261,STU0151,Node.js,19
PRJ00261,STU0151,MongoDB,90
PRJ00262,STU0112,Docker,62
PRJ00262,STU0112,Git,41
PRJ00262,STU0112,Node.js,76
PRJ00263,STU0457,React,92
PRJ00263,STU0457,Firebase,46
PRJ00264,STU0316,Python,83
PRJ00264,STU0316,Firebase,41
PRJ00265,STU0003,Python,62
PRJ00265,STU0003,Machine Learning,81
PRJ00266,STU0052,Java,16
PRJ00266,STU0052,SQL,95
PRJ00267,STU0264,Docker,59
PRJ00267,STU0264,Git,35
PRJ00267,STU0264,Node.js,51
PRJ00268,STU0004,Java,75
PRJ00268,STU0004,SQL,54
PRJ00269,STU0192,React,38
PRJ00269,STU0192,Node.js,12
PRJ00269,STU0192,MongoDB,20
PRJ00270,STU0416,React,12
PRJ00270,STU0416,Node.js,20
PRJ00270,STU0416,MongoDB,28
PRJ00271,STU0072,Python,66
PRJ00271,STU0072,Machine Learning,80
PRJ00272,STU0102,JavaScript,83
PRJ00272,STU0102,React,58
PRJ00272,STU0102,Node.js,86
PRJ00272,STU0102,SQL,52
PRJ00273,STU0203,Java,20
PRJ00273,STU0203,SQL,88
PRJ00274,STU0102,Python,93
PRJ00274,STU0102,Firebase,36
PRJ00275,STU0282,Python,10
PRJ00275,STU0282,Firebase,47
PRJ00276,STU0372,Docker,92
PRJ00276,STU0372,Git,74
PRJ00276,STU0372,Node.js,57
PRJ00277,STU0406,Python,28
PRJ00277,STU0406,FastAPI,100
PRJ00277,STU0406,Machine Learning,72
PRJ00278,STU0007,Python,68
PRJ00278,STU0007,Machine Learning,54
PRJ00278,STU0007,Data Science,77
PRJ00279,STU0500,React,58
PRJ00279,STU0500,Firebase,70
PRJ00280,STU0145,Python,16
PRJ00280,STU0145,Firebase,37
PRJ00281,STU0079,React,59
PRJ00281,STU0079,Node.js,51
PRJ00281,STU0079,MongoDB,63
PRJ00282,STU0443,React,28
PRJ00282,STU0443,Node.js,16
PRJ00282,STU0443,MongoDB,34
PRJ00283,STU0362,Python,64
PRJ00283,STU0362,Machine Learning,37
PRJ00283,STU0362,Data Science,42
PRJ00284,STU0097,Java,48
PRJ00284,STU0097,SQL,97
PRJ00285,STU0206,Python,46
PRJ00285,STU0206,FastAPI,37
PRJ00285,STU0206,Machine Learning,90
PRJ00286,STU0010,React,86
PRJ00286,STU0010,Firebase,43
PRJ00287,STU0209,HTML/CSS,61
PRJ00287,STU0209,JavaScript,75
PRJ00288,STU0219,Python,86
PRJ00288,STU0219,Firebase,58
PRJ00289,STU0027,React,41
PRJ00289,STU0027,Node.js,39
PRJ00289,STU0027,MongoDB,23
PRJ00290,STU0483,Python,78
PRJ00290,STU0483,Machine Learning,19
PRJ00291,STU0094,Python,96
PRJ00291,STU0094,FastAPI,29
PRJ00291,STU0094,Machine Learning,35
PRJ00292,STU0147,Python,38
PRJ00292,STU0147,Firebase,57
PRJ00293,STU0130,Python,66
PRJ00293,STU0130,Firebase,96
PRJ00294,STU0050,Python,63
PRJ00294,STU0050,FastAPI,21
PRJ00294,STU0050,Machine Learning,71
PRJ00295,STU0185,React,16
