assessment_id,student_id,skill,knowledge_score,problem_solving_score,coding_score,final_score,proficiency,assessment_type
ASM00065,STU0363,HTML/CSS,69,70,50,61.7,Beginner,practice
ASM00066,STU0153,React,80,59,52,62.5,Beginner,practice
ASM00067,STU0441,Node.js,79,97,69,80.4,Intermediate,practice
ASM00068,STU0085,Git,95,64,63,72.9,Intermediate,practice
ASM00069,STU0057,SQL,97,65,88,83.8,Intermediate,practice
ASM00070,STU0115,Firebase,73,95,83,83.6,Intermediate,proctored
ASM00071,STU0428,JavaScript,79,98,76,83.5,Intermediate,proctored
ASM00072,STU0391,HTML/CSS,54,57,99,72.9,Intermediate,proctored
ASM00073,STU0329,Node.js,48,58,70,59.8,Beginner,practice
ASM00074,STU0493,Python,80,41,86,70.7,Intermediate,proctored
ASM00075,STU0291,Node.js,40,78,44,53.0,Beginner,practice
ASM00076,STU0358,SQL,70,54,70,65.2,Beginner,practice
ASM00077,STU0066,Node.js,96,50,65,69.8,Beginner,practice
ASM00078,STU0356,HTML/CSS,84,93,48,72.3,Intermediate,proctored
ASM00079,STU0188,Node.js,78,49,99,77.7,Intermediate,proctored
ASM00080,STU0114,Machine Learning,90,78,54,72.0,Intermediate,proctored
ASM00081,STU0305,HTML/CSS,45,85,57,61.8,Beginner,proctored
ASM00082,STU0468,Java,83,61,49,62.8,Beginner,practice
ASM00083,STU0124,Java,100,85,47,74.3,Intermediate,practice
ASM00084,STU0095,MongoDB,51,65,59,58.4,Beginner,proctored
ASM00085,STU0133,Data Science,95,61,66,73.2,Intermediate,proctored
ASM00086,STU0450,Python,80,44,73,66.4,Beginner,practice
ASM00087,STU0065,Firebase,79,91,54,72.6,Intermediate,proctored
ASM00088,STU0169,Git,73,87,57,70.8,Intermediate,practice
ASM00089,STU0411,Node.js,50,50,76,60.4,Beginner,proctored
ASM00090,STU0428,HTML/CSS,88,81,88,85.9,Advanced,practice
ASM00091,STU0316,Machine Learning,83,66,98,83.9,Intermediate,practice
ASM00092,STU0404,Data Science,91,99,45,75.0,Intermediate,practice
ASM00093,STU0128,MongoDB,78,41,90,71.7,Intermediate,proctored
ASM00094,STU0086,Machine Learning,89,98,50,76.1,Intermediate,practice
ASM00095,STU0239,C++,89,55,65,69.2,Beginner,practice
ASM00096,STU0006,Python,86,52,49,61.0,Beginner,proctored
ASM00097,STU0295,Python,85,80,43,66.7,Beginner,practice
ASM00098,STU0154,MongoDB,69,66,44,58.1,Beginner,practice
ASM00099,STU0155,JavaScript,68,72,71,70.4,Intermediate,proctored
ASM00100,STU0432,C++,85,60,60,67.5,Beginner,practice
ASM00101,STU0338,Python,85,98,58,78.1,Intermediate,proctored
ASM00102,STU0329,React,47,65,79,65.2,Beginner,practice
ASM00103,STU0307,JavaScript,86,85,87,86.1,Advanced,proctored
ASM00104,STU0377,Machine Learning,68,100,63,75.6,Intermediate,practice
ASM00105,STU0485,Git,54,79,52,60.7,Beginner,practice
ASM00106,STU0490,React,83,76,65,73.7,Intermediate,proctored
ASM00107,STU0142,SQL,94,53,87,78.9,Intermediate,proctored
ASM00108,STU0406,C++,62,51,72,62.7,Beginner,practice
ASM00109,STU0286,C++,54,61,69,62.1,Beginner,proctored
ASM00110,STU0128,MongoDB,91,92,72,83.7,Intermediate,proctored
ASM00111,STU0457,React,55,41,99,68.4,Beginner,practice
ASM00112,STU0120,Node.js,61,55,80,66.8,Beginner,proctored
ASM00113,STU0026,JavaScript,54,67,59,59.9,Beginner,proctored
ASM00114,STU0433,JavaScript,49,58,88,67.3,Beginner,practice
ASM00115,STU0478,Node.js,41,80,76,66.7,Beginner,practice
ASM00116,STU0098,C++,92,69,50,68.3,Beginner,proctored
ASM00117,STU0124,React,62,42,60,55.2,Beginner,proctored
ASM00118,STU0205,Python,48,55,92,67.7,Beginner,proctored
ASM00119,STU0168,Java,92,41,71,68.3,Beginner,proctored
ASM00120,STU0188,SQL,60,74,94,77.8,Intermediate,practice
ASM00121,STU0028,HTML/CSS,77,57,80,72.2,Intermediate,proctored
ASM00122,STU0140,JavaScript,49,97,81,76.2,Intermediate,practice
ASM00123,STU0485,SQL,65,59,44,54.8,Beginner,proctored
ASM00124,STU0304,Git,50,63,92,70.7,Intermediate,practice
ASM00125,STU0439,Java,48,60,54,54.0,Beginner,proctored
ASM00126,STU0482,Data Science,89,73,44,66.2,Beginner,proctored
ASM00127,STU0433,React,92,86,96,91.8,Advanced,practice
ASM00128,STU0463,Python,62,85,87,78.9,Intermediate,proctored
ASM00129,STU0374,C++,59,79,56,63.8,Beginner,proctored
ASM00130,STU0316,C++,95,70,47,68.3,Beginner,practice
ASM00131,STU0355,Data Science,94,88,60,78.6,Intermediate,practice
ASM00132,STU0255,Java,97,99,65,84.8,Intermediate,practice
ASM00133,STU0409,React,51,72,80,68.9,Beginner,proctored
ASM00134,STU0143,Machine Learning,55,41,93,66.0,Beginner,practice
ASM00135,STU0062,C++,66,48,94,71.8,Intermediate,proctored
ASM00136,STU0344,Docker,95,74,82,83.5,Intermediate,practice
ASM00137,STU0457,C++,67,55,60,60.6,Beginner,proctored
ASM00138,STU0005,MongoDB,89,40,69,66.3,Beginner,practice
ASM00139,STU0482,Java,60,42,58,53.8,Beginner,proctored
ASM00140,STU0029,SQL,78,75,82,78.7,Intermediate,practice
ASM00141,STU0257,HTML/CSS,62,82,81,75.6,Intermediate,practice
ASM00142,STU0305,Data Science,69,96,44,67.1,Beginner,practice
ASM00143,STU0098,Docker,53,84,67,67.9,Beginner,proctored
ASM00144,STU0468,Firebase,72,42,87,69.0,Beginner,proctored
ASM00145,STU0056,Python,45,98,58,66.1,Beginner,practice
ASM00146,STU0376,Java,94,43,86,75.5,Intermediate,proctored
ASM00147,STU0308,JavaScript,71,93,72,78.0,Intermediate,proctored
ASM00148,STU0276,Git,53,42,57,51.3,Beginner,practice
ASM00149,STU0337,Java,64,100,55,71.2,Intermediate,proctored
ASM00150,STU0209,FastAPI,70,85,74,76.1,Intermediate,practice
ASM00151,STU0046,FastAPI,92,83,62,77.3,Intermediate,practice
ASM00152,STU0477,Git,42,62,80,63.2,Beginner,proctored
ASM00153,STU0339,Git,64,61,65,63.5,Beginner,proctored
ASM00154,STU0195,Data Science,51,73,42,54.0,Beginner,proctored
ASM00155,STU0246,JavaScript,85,71,50,66.8,Beginner,proctored
ASM00156,STU0371,Docker,75,47,83,69.8,Beginner,practice
ASM00157,STU0230,JavaScript,80,52,69,67.2,Beginner,proctored
ASM00158,STU0181,Machine Learning,58,41,69,57.3,Beginner,proctored
ASM00159,STU0373,C++,85,89,41,68.6,Beginner,proctored
ASM00160,STU0026,HTML/CSS,65,78,68,70.1,Intermediate,practice
ASM00161,STU0053,Docker,56,62,58,58.6,Beginner,proctored
ASM00162,STU0211,Data Science,97,45,56,65.0,Beginner,practice
ASM00163,STU0247,Node.js,76,42,100,75.4,Intermediate,practice
ASM00164,STU0195,FastAPI,72,86,66,73.8,Intermediate,practice
ASM00165,STU0191,Java,95,75,61,75.4,Intermediate,practice
ASM00166,STU0458,Java,45,67,59,57.2,Beginner,practice
ASM00167,STU0221,Python,62,82,78,74.4,Intermediate,practice
ASM00168,STU0421,Machine Learning,53,59,55,55.6,Beginner,proctored
ASM00169,STU0258,Python,98,80,81,85.8,Advanced,practice
ASM00170,STU0108,Git,99,49,41,60.8,Beginner,proctored
ASM00171,STU0069,SQL,73,93,62,74.6,Intermediate,practice
ASM00172,STU0170,HTML/CSS,90,53,55,64.9,Beginner,practice
ASM00173,STU0361,Data Science,70,90,55,70.0,Intermediate,proctored
ASM00174,STU0347,React,46,64,71,61.4,Beginner,practice
ASM00175,STU0056,Git,90,50,93,79.2,Intermediate,practice
ASM00176,STU0056,SQL,58,75,70,67.9,Beginner,proctored
ASM00177,STU0007,MongoDB,46,49,56,50.9,Beginner,proctored
ASM00178,STU0071,SQL,92,58,61,69.4,Beginner,practice
ASM00179,STU0013,Docker,43,61,58,54.4,Beginner,proctored
ASM00180,STU0260,C++,86,42,82,71.2,Intermediate,proctored
ASM00181,STU0291,MongoDB,71,65,80,72.8,Intermediate,practice
ASM00182,STU0122,FastAPI,72,70,48,61.8,Beginner,practice
ASM00183,STU0194,Java,65,53,40,51.4,Beginner,proctored
ASM00184,STU0409,HTML/CSS,89,58,55,66.1,Beginner,proctored
ASM00185,STU0396,Docker,43,41,41,41.6,Not Verified,proctored
ASM00186,STU0150,React,60,50,79,64.6,Beginner,practice
ASM00187,STU0317,Firebase,54,41,71,56.9,Beginner,practice
ASM00188,STU0055,Data Science,76,76,81,78.0,Intermediate,practice
ASM00189,STU0161,Node.js,66,88,64,71.8,Intermediate,proctored
ASM00190,STU0263,Git,71,84,52,67.3,Beginner,practice
ASM00191,STU0052,FastAPI,78,91,64,76.3,Intermediate,proctored
ASM00192,STU0075,SQL,49,68,89,70.7,Intermediate,practice
ASM00193,STU0324,Machine Learning,43,40,50,44.9,Not Verified,proctored
ASM00194,STU0128,Python,48,54,97,69.4,Beginner,practice
ASM00195,STU0020,SQL,64,87,69,72.9,Intermediate,practice
ASM00196,STU0437,MongoDB,46,51,63,54.3,Beginner,proctored
ASM00197,STU0338,SQL,73,76,87,79.5,Intermediate,proctored
ASM00198,STU0423,Node.js,46,99,73,72.7,Intermediate,proctored
ASM00199,STU0396,MongoDB,72,96,98,89.6,Advanced,proctored
ASM00200,STU0173,Java,66,65,67,66.1,Beginner,proctored
ASM00201,STU0364,FastAPI,91,47,94,79.0,Intermediate,proctored
ASM00202,STU0112,Git,48,71,73,64.9,Beginner,practice
ASM00203,STU0395,Node.js,71,80,79,76.9,Intermediate,proctored
ASM00204,STU0299,FastAPI,64,91,52,67.3,Beginner,practice
ASM00205,STU0043,SQL,48,70,65,61.4,Beginner,practice
ASM00206,STU0425,FastAPI,91,91,94,92.2,Advanced,practice
ASM00207,STU0156,Node.js,49,40,49,46.3,Not Verified,proctored
ASM00208,STU0410,Node.js,84,75,49,67.3,Beginner,practice
ASM00209,STU0275,FastAPI,93,65,52,68.2,Beginner,proctored
ASM00210,STU0126,MongoDB,69,55,69,64.8,Beginner,proctored
ASM00211,STU0154,SQL,42,54,100,68.8,Beginner,proctored
ASM00212,STU0429,MongoDB,95,47,98,81.8,Intermediate,proctored
ASM00213,STU0357,JavaScript,64,83,64,69.7,Beginner,proctored
ASM00214,STU0472,Node.js,90,47,78,72.3,Intermediate,proctored
ASM00215,STU0343,Git,66,40,64,57.4,Beginner,proctored
ASM00216,STU0013,Node.js,69,99,90,86.4,Advanced,proctored
ASM00217,STU0448,FastAPI,76,93,87,85.5,Advanced,proctored
ASM00218,STU0426,Java,92,77,91,87.1,Advanced,proctored
ASM00219,STU0376,SQL,94,100,64,83.8,Intermediate,proctored
ASM00220,STU0455,Node.js,86,71,66,73.5,Intermediate,proctored
ASM00221,STU0149,Java,42,54,56,51.2,Beginner,proctored
ASM00222,STU0144,Java,52,88,44,59.6,Beginner,proctored
ASM00223,STU0057,MongoDB,94,75,80,82.7,Intermediate,proctored
ASM00224,STU0160,Python,100,61,98,87.5,Advanced,proctored
ASM00225,STU0358,C++,54,50,60,55.2,Beginner,proctored
ASM00226,STU0228,MongoDB,77,82,40,63.7,Beginner,practice
ASM00227,STU0160,Data Science,42,72,63,59.4,Beginner,practice
ASM00228,STU0001,Git,87,57,90,79.2,Intermediate,proctored
ASM00229,STU0414,Firebase,64,69,46,58.3,Beginner,practice
ASM00230,STU0339,MongoDB,72,69,73,71.5,Intermediate,proctored
ASM00231,STU0036,Python,52,46,56,51.8,Beginner,practice
ASM00232,STU0391,Firebase,64,57,60,60.3,Beginner,practice
ASM00233,STU0065,HTML/CSS,49,69,60,59.4,Beginner,practice
ASM00234,STU0308,Node.js,90,43,69,67.5,Beginner,practice
ASM00235,STU0014,React,53,94,99,83.7,Intermediate,practice
ASM00236,STU0136,Node.js,79,80,77,78.5,Intermediate,practice
ASM00237,STU0002,Git,100,54,55,68.2,Beginner,proctored
ASM00238,STU0363,React,65,87,79,77.2,Intermediate,practice
ASM00239,STU0046,JavaScript,92,80,65,77.6,Intermediate,practice
ASM00240,STU0037,Python,93,64,41,63.5,Beginner,proctored
ASM00241,STU0086,Machine Learning,88,91,68,80.9,Intermediate,practice
ASM00242,STU0120,Java,84,81,75,79.5,Intermediate,proctored
ASM00243,STU0179,Data Science,99,100,65,85.7,Advanced,proctored
ASM00244,STU0045,Docker,93,42,45,58.5,Beginner,proctored
ASM00245,STU0274,Git,65,81,61,68.2,Beginner,practice
ASM00246,STU0209,HTML/CSS,46,50,60,52.8,Beginner,proctored
ASM00247,STU0203,Python,64,99,58,72.1,Intermediate,proctored
ASM00248,STU0032,Node.js,68,58,100,77.8,Intermediate,practice
ASM00249,STU0238,Git,59,96,75,76.5,Intermediate,practice
ASM00250,STU0397,Docker,80,77,92,83.9,Intermediate,practice
ASM00251,STU0261,Node.js,73,44,69,62.7,Beginner,proctored
ASM00252,STU0460,Docker,55,65,91,72.4,Intermediate,proctored
ASM00253,STU0013,Python,98,97,69,86.1,Advanced,practice
ASM00254,STU0003,HTML/CSS,44,68,71,62.0,Beginner,proctored
ASM00255,STU0335,Data Science,60,76,98,80.0,Intermediate,practice
ASM00256,STU0305,React,91,52,92,79.7,Intermediate,proctored
ASM00257,STU0228,FastAPI,46,47,99,67.5,Beginner,proctored
ASM00258,STU0227,Java,76,85,88,83.5,Intermediate,practice
ASM00259,STU0427,Python,42,57,79,61.3,Beginner,proctored
ASM00260,STU0088,Firebase,45,57,58,53.8,Beginner,practice
ASM00261,STU0045,HTML/CSS,62,61,94,74.5,Intermediate,practice
ASM00262,STU0230,Node.js,54,54,54,54.0,Beginner,practice
ASM00263,STU0340,Git,86,66,84,79.2,Intermediate,practice
ASM00264,STU0192,JavaScript,54,76,46,57.4,Beginner,practice
ASM00265,STU0398,Docker,41,92,53,61.1,Beginner,proctored
ASM00266,STU0185,React,98,40,96,79.8,Intermediate,proctored
ASM00267,STU0160,Git,84,91,77,83.3,Intermediate,proctored
ASM00268,STU0197,Docker,65,62,53,59.3,Beginner,practice
ASM00269,STU0368,Java,87,79,70,77.8,Intermediate,practice
ASM00270,STU0121,Java,69,53,76,67.0,Beginner,practice
ASM00271,STU0391,Machine Learning,84,98,49,74.2,Intermediate,practice
ASM00272,STU0260,Data Science,85,86,49,70.9,Intermediate,proctored
ASM00273,STU0406,C++,91,75,92,86.6,Advanced,practice
ASM00274,STU0434,FastAPI,64,94,61,71.8,Intermediate,proctored
ASM00275,STU0428,Git,49,95,70,71.2,Intermediate,practice
ASM00276,STU0284,Data Science,82,45,56,60.5,Beginner,proctored
ASM00277,STU0474,React,57,76,52,60.7,Beginner,proctored
ASM00278,STU0459,HTML/CSS,70,98,78,81.6,Intermediate,practice
ASM00279,STU0226,Firebase,42,67,40,48.7,Not Verified,practice
ASM00280,STU0187,FastAPI,81,46,70,66.1,Beginner,proctored
ASM00281,STU0423,SQL,69,78,48,63.3,Beginner,proctored
ASM00282,STU0451,C++,47,64,48,52.5,Beginner,practice
ASM00283,STU0013,Machine Learning,84,91,77,83.3,Intermediate,proctored
ASM00284,STU0479,Firebase,63,88,56,67.7,Beginner,practice
ASM00285,STU0155,Machine Learning,53,92,77,74.3,Intermediate,practice
ASM00286,STU0008,Java,100,58,82,80.2,Intermediate,practice
ASM00287,STU0185,Data Science,40,94,95,78.2,Intermediate,proctored
ASM00288,STU0307,C++,55,56,82,66.1,Beginner,proctored
ASM00289,STU0244,C++,93,46,86,76.1,Intermediate,practice
ASM00290,STU0204,C++,77,49,63,63.0,Beginner,practice
ASM00291,STU0065,Git,93,94,81,88.5,Advanced,proctored
ASM00292,STU0169,Python,79,99,51,73.8,Intermediate,practice
ASM00293,STU0028,Python,43,82,45,55.5,Beginner,proctored
ASM00294,STU0342,HTML/CSS,87,43,45,57.0,Beginner,practice
ASM00295,STU0218,Java,66,44,94,70.6,Intermediate,practice
ASM00296,STU0099,FastAPI,56,90,56,66.2,Beginner,proctored
ASM00297,STU0072,Java,94,54,40,60.4,Beginner,proctored
ASM00298,STU0345,C++,75,72,48,63.3,Beginner,proctored
ASM00299,STU0272,MongoDB,59,82,64,67.9,Beginner,proctored
ASM00300,STU0392,Docker,83,100,96,93.3,Advanced,practice
ASM00301,STU0245,JavaScript,52,83,99,80.1,Intermediate,proctored
ASM00302,STU0038,Python,56,82,56,63.8,Beginner,proctored
ASM00303,STU0253,Docker,96,100,69,86.4,Advanced,proctored
ASM00304,STU0322,Machine Learning,94,97,100,97.3,Advanced,practice
ASM00305,STU0497,SQL,86,66,44,63.2,Beginner,proctored
ASM00306,STU0065,Java,89,73,75,78.6,Intermediate,proctored
ASM00307,STU0450,JavaScript,41,66,53,53.3,Beginner,proctored
ASM00308,STU0270,C++,65,92,58,70.3,Intermediate,proctored
ASM00309,STU0247,Machine Learning,44,80,80,69.2,Beginner,proctored
ASM00310,STU0425,Python,49,52,66,56.7,Beginner,practice
ASM00311,STU0392,Java,84,80,67,76.0,Intermediate,proctored
ASM00312,STU0217,FastAPI,52,60,98,72.8,Intermediate,proctored
ASM00313,STU0212,MongoDB,69,67,57,63.6,Beginner,proctored
ASM00314,STU0429,React,49,54,90,66.9,Beginner,proctored
ASM00315,STU0366,Git,86,54,82,74.8,Intermediate,proctored
ASM00316,STU0176,JavaScript,90,97,74,85.7,Advanced,proctored
ASM00317,STU0454,Firebase,80,91,65,77.3,Intermediate,practice
ASM00318,STU0467,Java,51,64,96,72.9,Intermediate,proctored
ASM00319,STU0237,Git,56,78,94,77.8,Intermediate,practice
ASM00320,STU0433,MongoDB,50,99,51,65.1,Beginner,practice
ASM00321,STU0095,Firebase,79,66,88,78.7,Intermediate,practice
ASM00322,STU0133,Node.js,83,73,57,69.6,Beginner,proctored
ASM00323,STU0411,Firebase,87,80,67,76.9,Intermediate,practice
ASM00324,STU0260,Java,95,96,47,76.1,Intermediate,proctored
ASM00325,STU0159,HTML/CSS,54,54,42,49.2,Not Verified,practice
ASM00326,STU0132,Python,78,85,73,78.1,Intermediate,proctored
ASM00327,STU0165,FastAPI,71,70,45,60.3,Beginner,practice
ASM00328,STU0163,C++,62,78,83,75.2,Intermediate,proctored
ASM00329,STU0395,Docker,98,64,84,82.2,Intermediate,proctored
ASM00330,STU0400,Data Science,73,70,99,82.5,Intermediate,proctored
ASM00331,STU0088,Firebase,62,76,46,59.8,Beginner,proctored
ASM00332,STU0009,C++,86,57,64,68.5,Beginner,proctored
ASM00333,STU0240,JavaScript,47,66,51,54.3,Beginner,practice
ASM00334,STU0203,C++,41,53,49,47.8,Not Verified,proctored
ASM00335,STU0166,FastAPI,59,44,74,60.5,Beginner,proctored
ASM00336,STU0090,Git,60,62,82,69.4,Beginner,practice
ASM00337,STU0240,HTML/CSS,54,86,69,69.6,Beginner,proctored
ASM00338,STU0309,MongoDB,62,71,94,77.5,Intermediate,practice
ASM00339,STU0391,SQL,44,76,81,68.4,Beginner,proctored
ASM00340,STU0131,C++,68,57,83,70.7,Intermediate,proctored
ASM00341,STU0038,Java,70,83,53,67.1,Beginner,practice
ASM00342,STU0494,Firebase,69,40,53,53.9,Beginner,practice
ASM00343,STU0076,SQL,65,81,69,71.4,Intermediate,practice
ASM00344,STU0054,Java,50,63,100,73.9,Intermediate,practice
ASM00345,STU0374,MongoDB,50,53,53,52.1,Beginner,proctored
ASM00346,STU0408,Python,74,42,63,60.0,Beginner,practice
ASM00347,STU0490,React,42,87,100,78.7,Intermediate,proctored
ASM00348,STU0296,JavaScript,80,56,80,72.8,Intermediate,proctored
ASM00349,STU0262,Data Science,54,98,93,82.8,Intermediate,proctored
ASM00350,STU0410,Java,42,96,70,69.4,Beginner,proctored
ASM00351,STU0043,JavaScript,80,68,54,66.0,Beginner,practice
ASM00352,STU0181,HTML/CSS,98,58,74,76.4,Intermediate,practice
ASM00353,STU0077,JavaScript,40,70,48,52.2,Beginner,proctored
ASM00354,STU0033,Git,68,94,41,65.0,Beginner,practice
ASM00355,STU0071,FastAPI,70,56,93,75.0,Intermediate,proctored
ASM00356,STU0224,Docker,85,50,71,68.9,Beginner,practice
ASM00357,STU0391,Firebase,53,80,65,65.9,Beginner,practice
ASM00358,STU0034,JavaScript,79,86,86,83.9,Intermediate,practice
ASM00359,STU0181,SQL,45,83,85,72.4,Intermediate,proctored
ASM00360,STU0010,SQL,96,45,42,59.1,Beginner,proctored
ASM00361,STU0317,Node.js,84,74,89,83.0,Intermediate,practice
ASM00362,STU0364,JavaScript,48,67,96,72.9,Intermediate,proctored
ASM00363,STU0107,C++,43,40,53,46.1,Not Verified,practice
ASM00364,STU0006,Data Science,48,48,55,50.8,Beginner,practice
ASM00365,STU0020,JavaScript,87,81,73,79.6,Intermediate,proctored
ASM00366,STU0002,C++,97,52,82,77.5,Intermediate,practice
ASM00367,STU0350,JavaScript,96,92,80,88.4,Advanced,practice
ASM00368,STU0102,Data Science,61,91,53,66.8,Beginner,proctored
ASM00369,STU0223,HTML/CSS,76,49,94,75.1,Intermediate,proctored
ASM00370,STU0443,Git,47,95,66,69.0,Beginner,practice
ASM00371,STU0114,Java,67,93,97,86.8,Advanced,practice
ASM00372,STU0314,Machine Learning,93,75,70,78.4,Intermediate,practice
ASM00373,STU0005,React,53,94,40,60.1,Beginner,practice
ASM00374,STU0192,Node.js,98,56,44,63.8,Beginner,proctored
ASM00375,STU0200,Java,67,65,56,62.0,Beginner,practice
ASM00376,STU0003,Python,83,74,58,70.3,Intermediate,practice
ASM00377,STU0404,C++,61,75,41,57.2,Beginner,proctored
ASM00378,STU0169,C++,81,46,71,66.5,Beginner,practice
ASM00379,STU0154,JavaScript,77,100,66,79.5,Intermediate,proctored
ASM00380,STU0265,Python,77,48,58,60.7,Beginner,proctored
ASM00381,STU0061,SQL,40,60,92,66.8,Beginner,proctored
ASM00382,STU0335,Git,91,66,79,78.7,Intermediate,practice
ASM00383,STU0051,C++,86,89,52,73.3,Intermediate,proctored
ASM00384,STU0169,MongoDB,50,85,61,64.9,Beginner,practice
ASM00385,STU0082,C++,55,84,50,61.7,Beginner,proctored
ASM00386,STU0339,HTML/CSS,75,99,43,69.4,Beginner,practice
ASM00387,STU0258,MongoDB,75,52,69,65.7,Beginner,practice
ASM00388,STU0326,Node.js,55,62,98,74.3,Intermediate,practice
ASM00389,STU0379,Python,84,94,85,87.4,Advanced,practice
ASM00390,STU0255,Machine Learning,51,100,61,69.7,Beginner,proctored
ASM00391,STU0306,SQL,42,89,46,57.7,Beginner,proctored
ASM00392,STU0060,Firebase,61,89,50,65.0,Beginner,practice
ASM00393,STU0164,FastAPI,83,67,93,82.2,Intermediate,proctored
ASM00394,STU0238,Data Science,85,74,75,77.7,Intermediate,proctored
ASM00395,STU0206,Python,54,45,68,56.9,Beginner,practice
ASM00396,STU0273,Git,41,55,41,45.2,Not Verified,practice
ASM00397,STU0466,SQL,91,97,74,86.0,Advanced,proctored
ASM00398,STU0362,HTML/CSS,77,70,47,62.9,Beginner,practice
ASM00399,STU0035,HTML/CSS,96,94,93,94.2,Advanced,practice
ASM00400,STU0424,Firebase,48,51,78,60.9,Beginner,proctored
ASM00401,STU0189,C++,61,84,89,79.1,Intermediate,practice
ASM00402,STU0339,C++,63,78,96,80.7,Intermediate,proctored
